year,date,hour,base_curtail_mwh,bid_mwh,cleared_mwh,delivered_mwh,jeju_smp,delivery_pct
2023,2023-04-09,13,0.0,0.0,0.0,3.267,118.27,0.0
2023,2023-04-09,14,0.0,0.0,0.0,3.172,117.6,0.0
2023,2023-04-09,15,0.0,0.0,0.0,2.951,118.43,0.0
2023,2023-04-11,12,0.0,7.08,7.08,1.204,179.57,17.01
2023,2023-04-11,13,0.0,7.17,7.17,1.138,173.66,15.87
2023,2023-04-12,12,0.0,10.17,10.17,1.912,178.81,18.8
2023,2023-04-12,13,0.0,10.25,10.25,1.676,174.9,16.35
2023,2023-04-12,14,0.0,10.41,10.41,2.321,178.75,22.3
2023,2023-04-13,12,0.0,8.43,8.43,2.019,166.5,23.95
2023,2023-04-13,13,0.0,8.88,8.88,1.897,159.51,21.36
2023,2023-04-13,14,0.0,9.08,9.08,2.109,160.44,23.23
2023,2023-04-16,13,0.0,0.0,0.0,3.581,164.61,0.0
2023,2023-04-16,14,0.0,0.0,0.0,3.228,164.61,0.0
2023,2023-04-16,15,0.0,0.0,0.0,3.506,164.61,0.0
2023,2023-04-17,13,0.0,0.0,0.0,3.564,172.0,0.0
2023,2023-04-17,14,0.0,0.0,0.0,3.385,172.03,0.0
2023,2023-04-21,13,0.0,8.46,8.46,2.78,165.95,32.86
2023,2023-04-22,11,0.0,11.98,11.98,3.043,164.15,25.4
2023,2023-04-22,12,0.0,12.71,12.71,3.095,163.53,24.35
2023,2023-04-22,13,0.0,13.25,13.25,3.218,163.53,24.29
2023,2023-04-22,14,0.0,12.81,12.81,3.302,163.53,25.78
2023,2023-04-26,12,0.0,10.61,10.61,2.413,160.43,22.74
2023,2023-04-26,13,0.0,10.8,10.8,2.484,129.32,23.0
2023,2023-04-26,14,0.0,11.07,11.07,2.386,160.94,21.55
2023,2023-04-27,12,0.0,10.51,10.51,2.441,173.74,23.23
2023,2023-04-27,13,0.0,10.77,10.77,2.294,165.53,21.3
2023,2023-04-27,14,0.0,11.28,11.28,2.357,170.57,20.9
2023,2023-04-30,11,0.0,0.0,0.0,2.763,106.31,0.0
2023,2023-04-30,12,0.0,0.0,0.0,2.878,117.3,0.0
2023,2023-04-30,13,0.0,0.0,0.0,2.911,117.25,0.0
2023,2023-04-30,14,0.0,0.0,0.0,3.293,118.51,0.0
2023,2023-05-01,12,0.0,0.0,0.0,3.059,114.9,0.0
2023,2023-05-01,13,0.0,0.0,0.0,2.527,112.3,0.0
2023,2023-05-01,14,0.0,0.0,0.0,2.843,114.9,0.0
2023,2023-05-01,15,0.0,0.0,0.0,2.816,116.52,0.0
2023,2023-05-02,12,0.0,0.0,0.0,2.741,115.06,0.0
2023,2023-05-02,13,0.0,0.0,0.0,2.217,109.87,0.0
2023,2023-05-02,14,0.0,0.0,0.0,2.788,122.44,0.0
2023,2023-05-08,12,0.0,0.0,0.0,3.684,149.16,0.0
2023,2023-05-08,13,0.0,0.0,0.0,3.749,145.59,0.0
2023,2023-05-08,14,0.0,0.0,0.0,3.345,149.16,0.0
2023,2023-05-08,15,0.0,0.0,0.0,3.876,149.16,0.0
2023,2023-05-09,12,0.0,10.19,10.19,1.59,164.69,15.6
2023,2023-05-09,13,0.0,9.82,9.82,1.975,149.15,20.11
2023,2023-05-09,14,0.0,10.13,10.13,1.979,166.72,19.54
2023,2023-05-10,11,0.0,0.0,0.0,3.06,148.99,0.0
2023,2023-05-10,12,0.0,11.59,11.59,2.603,148.99,22.46
2023,2023-05-10,13,0.0,11.29,11.29,2.201,159.79,19.5
2023,2023-05-10,14,0.0,0.0,0.0,3.077,160.01,0.0
2023,2023-05-14,12,0.0,0.0,0.0,2.69,108.67,0.0
2023,2023-05-14,13,0.0,0.0,0.0,2.824,127.13,0.0
2023,2023-05-14,14,0.0,0.0,0.0,3.004,127.26,0.0
2023,2023-05-16,12,0.0,7.76,7.76,1.818,150.18,23.43
2023,2023-05-16,13,0.0,8.07,8.07,2.072,145.98,25.68
2023,2023-05-17,12,0.0,9.81,9.81,3.684,160.94,37.55
2023,2023-05-17,13,0.0,9.89,9.89,4.195,121.8,42.42
2023,2023-05-20,12,0.0,0.0,0.0,4.524,121.73,0.0
2023,2023-05-20,13,0.0,0.0,0.0,4.223,121.73,0.0
2023,2023-05-21,12,0.0,0.0,0.0,2.876,109.31,0.0
2023,2023-05-21,13,0.0,0.0,0.0,3.22,109.31,0.0
2023,2023-05-21,14,0.0,0.0,0.0,3.358,123.76,0.0
2023,2023-05-23,13,0.0,11.46,11.46,2.666,161.87,23.26
2023,2023-06-03,12,0.0,0.0,0.0,4.414,168.93,0.0
2023,2023-06-03,13,0.0,0.0,0.0,4.774,152.33,0.0
